Subject,VariableA,VariableB,DV,,,MEAN,SD,,,MEAN,SD
S1,A1,B1,-1.03,,A1B1,-0.25,0.788267415,,A1 TOTAL,,
S2,A1,B1,-1.93,,A1B2,-0.010666667,1.118345247,,A2 TOTAL,,
S3,A1,B1,0.46,,A2B1,-0.589333333,0.806447866,,B1 TOTAL,,
S4,A1,B1,-0.01,,A2B2,0.814,1.043596566,,B2 TOTAL,,
S5,A1,B1,0.04,,TOTAL TOTAL,-0.009,1.072575946,,,,
S6,A1,B1,-0.48,,,,,,,,
S7,A1,B1,-0.07,,,,,,,,
S8,A1,B1,0.45,,,,,,,,
S9,A1,B1,-0.06,,,,,,,,
S10,A1,B1,-1.63,,,,,,,,
S11,A1,B1,-0.78,,,,,,,,
S12,A1,B1,0.39,,,,,,,,
S13,A1,B1,-2.04,,,,,,,,
S14,A1,B1,0.62,,,,,,,,
S15,A1,B1,-0.34,,,,,,,,
S16,A1,B1,-1.44,,,,,,,,
S17,A1,B1,-0.06,,,,,,,,
S18,A1,B1,-0.88,,,,,,,,
S19,A1,B1,-0.79,,,,,,,,
S20,A1,B1,-0.21,,,,,,,,
S21,A1,B1,-0.62,,,,,,,,
S22,A1,B1,0.55,,,,,,,,
S23,A1,B1,1.19,,,,,,,,
S24,A1,B1,0.45,,,,,,,,
S25,A1,B1,0,,,,,,,,
S26,A1,B1,0.51,,,,,,,,
S27,A1,B1,0.01,,,,,,,,
S28,A1,B1,0.32,,,,,,,,
S29,A1,B1,0.24,,,,,,,,
S30,A1,B1,-0.36,,,,,,,,
S31,A1,B2,-0.24,,,,,,,,
S32,A1,B2,-0.07,,,,,,,,
S33,A1,B2,-1.23,,,,,,,,
S34,A1,B2,-0.95,,,,,,,,
S35,A1,B2,-1.38,,,,,,,,
S36,A1,B2,1.72,,,,,,,,
S37,A1,B2,-0.32,,,,,,,,
S38,A1,B2,-2,,,,,,,,
S39,A1,B2,0.77,,,,,,,,
S40,A1,B2,-0.03,,,,,,,,
S41,A1,B2,0.41,,,,,,,,
S42,A1,B2,0.86,,,,,,,,
S43,A1,B2,0.16,,,,,,,,
S44,A1,B2,-2.43,,,,,,,,
S45,A1,B2,0.02,,,,,,,,
S46,A1,B2,1.28,,,,,,,,
S47,A1,B2,1.08,,,,,,,,
S48,A1,B2,-0.41,,,,,,,,
S49,A1,B2,0.56,,,,,,,,
S50,A1,B2,-0.74,,,,,,,,
S51,A1,B2,-1.43,,,,,,,,
S52,A1,B2,-1.43,,,,,,,,
S53,A1,B2,-0.74,,,,,,,,
S54,A1,B2,0.49,,,,,,,,
S55,A1,B2,0.41,,,,,,,,
S56,A1,B2,1.56,,,,,,,,
S57,A1,B2,-0.22,,,,,,,,
S58,A1,B2,0.62,,,,,,,,
S59,A1,B2,1.74,,,,,,,,
S60,A1,B2,1.62,,,,,,,,
S61,A2,B1,-1.45,,,,,,,,
S62,A2,B1,-0.53,,,,,,,,
S63,A2,B1,-0.29,,,,,,,,
S64,A2,B1,0.55,,,,,,,,
S65,A2,B1,-1.14,,,,,,,,
S66,A2,B1,1.07,,,,,,,,
S67,A2,B1,-0.2,,,,,,,,
S68,A2,B1,-1.21,,,,,,,,
S69,A2,B1,-0.6,,,,,,,,
S70,A2,B1,0.38,,,,,,,,
S71,A2,B1,0.08,,,,,,,,
S72,A2,B1,-1.39,,,,,,,,
S73,A2,B1,-0.1,,,,,,,,
S74,A2,B1,-1.06,,,,,,,,
S75,A2,B1,-1.28,,,,,,,,
S76,A2,B1,-2.13,,,,,,,,
S77,A2,B1,-1.34,,,,,,,,
S78,A2,B1,-1.09,,,,,,,,
S79,A2,B1,-0.82,,,,,,,,
S80,A2,B1,-0.22,,,,,,,,
S81,A2,B1,-0.25,,,,,,,,
S82,A2,B1,-0.28,,,,,,,,
S83,A2,B1,-0.89,,,,,,,,
S84,A2,B1,-0.36,,,,,,,,
S85,A2,B1,-0.66,,,,,,,,
S86,A2,B1,-0.3,,,,,,,,
S87,A2,B1,-0.57,,,,,,,,
S88,A2,B1,-0.5,,,,,,,,
S89,A2,B1,1.23,,,,,,,,
S90,A2,B1,-2.33,,,,,,,,
S91,A2,B2,0.41,,,,,,,,
S92,A2,B2,-0.28,,,,,,,,
S93,A2,B2,0.62,,,,,,,,
S94,A2,B2,1.56,,,,,,,,
S95,A2,B2,-1.24,,,,,,,,
S96,A2,B2,0.27,,,,,,,,
S97,A2,B2,2.68,,,,,,,,
S98,A2,B2,1.91,,,,,,,,
S99,A2,B2,1.01,,,,,,,,
S100,A2,B2,-0.43,,,,,,,,
S101,A2,B2,1.11,,,,,,,,
S102,A2,B2,1.06,,,,,,,,
S103,A2,B2,2.06,,,,,,,,
S104,A2,B2,1.27,,,,,,,,
S105,A2,B2,-0.44,,,,,,,,
S106,A2,B2,1.23,,,,,,,,
S107,A2,B2,-0.76,,,,,,,,
S108,A2,B2,1.11,,,,,,,,
S109,A2,B2,0.26,,,,,,,,
S110,A2,B2,0.83,,,,,,,,
S111,A2,B2,1.47,,,,,,,,
S112,A2,B2,2.15,,,,,,,,
S113,A2,B2,2.06,,,,,,,,
S114,A2,B2,0.65,,,,,,,,
S115,A2,B2,1.78,,,,,,,,
S116,A2,B2,0.47,,,,,,,,
S117,A2,B2,2.17,,,,,,,,
S118,A2,B2,0.87,,,,,,,,
S119,A2,B2,-1.4,,,,,,,,
S120,A2,B2,-0.04,,,,,,,,
