CHILDID,AGEENTRY,BLACK,COGSTIM,READING
0001002C,74,0,2.68,45.17
0001007C,60,0,2.34,25.67
0001010C,67,0,2.91,27.34
0002003C,71,0,2.25,42.51
0002004C,63,0,2.61,36.15
0002006C,59,0,2.31,22.59
0002008C,68,0,2.08,22.45
0002011C,60,0,1.49,21.3
0002018C,65,0,2.38,32.25
0002019C,63,0,2.03,30.86
0002024C,64,0,2.08,25.21
0005006C,70,0,1.09,23.89
0005016C,60,0,1.83,19.07
0006003C,61,0,1.98,34.62
0006005C,70,0,1.86,30.33
0006007C,66,0,1.52,19.85
0006010C,64,0,1.34,32.1
0006011C,60,0,1.33,21.53
0006012C,64,0,2.12,24.77
0006015C,63,0,1.72,23.66
0006017C,63,0,2.16,33.4
0006022C,60,0,2.06,26.39
0007002C,63,0,2.13,33.16
0007006C,62,0,2.74,32.43
0007008C,69,0,2.16,30.97
0007009C,62,0,2.21,34.22
0007010C,66,0,2.09,19.97
0007015C,62,0,2.19,24.52
0007016C,63,0,1.52,22.26
0007017C,62,0,2.46,47.1
0007018C,70,0,2.37,44
0007022C,64,0,2.77,35.85
0007023C,62,0,2.68,27.66
0009001C,64,0,1.55,21.67
0009003C,67,0,2.63,32.1
0009005C,67,0,1.76,25.13
0009007C,65,0,1.75,24.49
0009008C,59,0,1.9,22.22
0009010C,61,0,1.51,26.79
0009013C,66,0,2.8,29.64
0009014C,67,0,2.29,28.87
0009018C,62,0,1.94,23.46
0009020C,60,0,1.64,22.62
0009024C,71,0,1.95,21.64
0009026C,65,0,2.6,26.79
0010004C,68,0,1.41,18.02
0010006C,71,0,1.97,24.28
0010007C,67,0,2.44,28.09
0010008C,66,0,1.44,21.44
0010010C,62,0,2.06,19.78
0010011C,63,0,2.13,18.32
0010015C,73,0,2.17,31.09
0010016C,66,0,1.45,28.66
0010017C,64,0,2.21,27.11
0010018C,59,0,2.2,39.98
0010020C,62,0,1.52,20.76
0011002C,68,0,2.3,43.07
0011004C,60,0,1.86,22.48
0011006C,64,0,1.85,23.86
0011007C,76,0,1.89,27.51
0011008C,62,0,1.36,27.43
0011009C,62,0,2.06,26.44
0011010C,61,0,1.54,27.11
0011011C,65,0,1.86,26.97
0011012C,64,0,1.43,24.63
0011013C,78,0,1.71,26.97
0011014C,70,0,2.39,23.77
0011017C,62,0,1.76,26.72
0011018C,59,0,1.75,20.79
0011019C,69,0,2.24,24.9
0011021C,69,0,2.09,27.88
0011022C,61,0,1.93,17.88
0011023C,62,0,1.96,26.04
0011024C,61,0,2.33,41.93
0013001C,63,0,2.87,43.17
0013005C,70,0,2.48,49.43
0014001C,63,0,2.12,26.29
0014002C,61,0,2.47,25.57
0015004C,61,0,1.6,19.16
0015009C,70,0,1.44,19.68
0015014C,63,0,2.45,45.14
0015017C,71,0,1.63,16.77
0015019C,66,0,2.14,33.11
0015020C,79,0,2.76,44.44
0015023C,66,0,2.03,17.14
0015025C,70,0,2.09,24.67
0015026C,75,0,2.06,26.51
0016001C,72,0,1.2,30.04
0016004C,66,0,1.69,28.74
0016008C,65,0,1,18.08
0016009C,67,0,1.62,18.49
0020001C,70,0,1.9,35.35
0020002C,68,0,2.75,25.81
0020003C,68,0,2.16,39.43
0020004C,62,0,1.57,24.1
0020005C,68,0,1.89,20.85
0020013C,68,0,2.29,25.98
0020014C,61,0,2.27,31.05
0020016C,61,0,1.76,26.99
0020017C,70,0,2.17,24.17
0020019C,63,0,1.95,26.83
0020020C,60,0,2.09,26.41
0020024C,63,0,2.2,26.87
0021001C,65,0,1.79,27.38
0021002C,61,0,2.4,28.14
0022002C,71,0,2.32,27.48
0022003C,69,0,1.86,19.62
0022005C,61,0,3.05,25.65
0022006C,60,0,1.4,28.51
0022007C,67,0,1.35,29.84
0022008C,66,0,2.1,27.64
0022009C,66,0,2.55,22.41
0022012C,64,0,1.4,17.66
0022013C,69,0,2.26,22.6
0022014C,62,0,2.36,28.05
0022016C,64,0,2.5,26.66
0022017C,60,0,2.72,19.03
0022018C,61,0,1.97,28.53
0022019C,61,0,2.56,24.08
0022020C,63,0,1.49,24.85
0022023C,64,0,2.28,28.59
